OBJECTID,TAG,CODE,ROUTE,ACCOUNTNUM,PEANO,FEEDERID,OWNER,INSTALLATI,LATITUDE,LONGITUDE,"Lat, Long"
3387140,11MTAA001058946,AFAG,149,183650,24261473,FAA06,PEA,6021005767,19.90165571,99.21102091,"19.9016557054, 99.2110209096"
3938021,11MTAA001298986,ACPK,101,001190,6400179702,,PEA,6023994167,19.72536282,99.13558665,"19.7253628154, 99.1355866508"
4310183,11MTAA001365800,ACPK,1,003402,6500204136,FAA01,PEA,6024447557,19.75414168,99.14633043,"19.7541416775, 99.1463304267"
3767154,11MTAA001246551,ACPK,152,209471,6200831463,FAA01,PEA,6023691031,19.74346366,99.1226077,"19.7434636577, 99.1226077013"
4310187,11MTAA001365805,ACPK,1,003402,6500204141,FAA01,PEA,6024399472,19.75415733,99.14635582,"19.7541573267, 99.1463558211"
2456553,11MTAA000577258,AFAG,78,690851,5900794668,FAA04,PEA,6020047469,19.81049764,99.21932837,"19.8104976449, 99.2193283716"
2457586,11MTAA000577777,AFAG,78,690852,22589809,FAA04,PEA,6007234246,19.81049761,99.21935839,"19.810497608, 99.2193583914"
1801495,11MTAA000150141,AFAG,78,-,27808657,FAA04,,6016846183,19.8114953,99.21889605,"19.8114952989, 99.2188960516"
2901512,11MTAA000808323,AFAG,41,430126,6201354456,FAA09,PEA,6021543298,19.86661354,99.2155388,"19.8666135376, 99.2155388018"
1732204,11MTAA000113121,AFAG,105,436795,29065113,FAA09,PEA,6016331721,19.88285343,99.21634925,"19.8828534311, 99.2163492518"
619372,1150MT000238763,AFAG,105,436501,6100204670,FAA09,PEA,6007363896,19.88148058,99.21740949,"19.8814805769, 99.2174094907"
619328,1150MT000238719,AFAG,105,437830,25007055,FAA09,PEA,6007367710,19.88320922,99.21959443,"19.8832092214, 99.2195944338"
2391094,11MTAA000542298,AFAG,105,437761,5800163012,FAA09,PEA,6019755651,19.8853534,99.21720505,"19.885353402, 99.2172050519"
619031,1150MT000238422,AFAG,105,437201,24424641,FAA09,PEA,6007366803,19.88345429,99.21737681,"19.8834542899, 99.2173768095"
619306,1150MT000238697,AFAG,105,438300,26563234,FAA09,PEA,6007369328,19.88630336,99.22008689,"19.8863033583, 99.2200868869"
593292,1150MT000212683,AFAG,78,688190,6500204147,FAA04,PEA,6007231307,19.81931769,99.22218218,"19.8193176907, 99.2221821835"
3650594,11MTAA001192948,AFAG,134,-,5800189185,FAA04,PEA,6023437518,19.83500461,99.22252964,"19.8350046107, 99.2225296354"
1671127,11MTAA000080536,AFAG,114,-,27121884,FAA04,PEA,6007410315,19.84278625,99.22240709,"19.842786252, 99.2224070868"
4168127,11MTAA001346343,AFAG,238,002504,6500060154,FAA04,PEA,6024374729,19.84332158,99.22801241,"19.8433215816, 99.2280124051"
4121428,11MTAA001338458,AFAG,63,635691,6000272939,FAA09,PEA,6021315420,19.90279105,99.22655759,"19.9027910543, 99.2265575902"
618865,1150MT000238256,AFAG,64,648242,6200143548,FAA09,PEA,6007145131,19.89648646,99.23009206,"19.8964864604, 99.2300920566"
4485337,11MTAA001400024,AFAG,64,,29559770,FAA09,PEA,6007148066,19.89436201,99.23192952,"19.8943620055, 99.2319295232"
618311,1150MT000237702,AFAG,63,638005,6200831230,FAA09,PEA,6007137288,19.90035215,99.23124396,"19.9003521478, 99.2312439617"
2062252,11MTAA000320079,AFAG,63,638140,6300827506,FAA09,PEA,6018478942,19.89934172,99.23269979,"19.8993417236, 99.2326997863"
